id  ;name                                ;slogan
  1 ;Corkery Group                       ;aggregate mission-critical synergies
  2 ;Sawayn-Konopelski                   ;synthesize killer functionalities
  3 ;Schneider, Dickinson and Vandervort ;matrix bricks-and-clicks networks
  4 ;Orn, Cremin and Larson              ;deliver end-to-end models
  5 ;Walker-Maggio                       ;embrace sticky initiatives
  6 ;Champlin, Wilderman and Bechtelar   ;productize proactive schemas
  7 ;Brekke and Sons                     ;reintermediate B2B web-readiness
  8 ;Hessel LLC                          ;enhance efficient eyeballs
  9 ;Sporer Group                        ;reinvent leading-edge channels
 10 ;Denesik LLC                         ;grow viral synergies
 11 ;Donnelly-Effertz                    ;orchestrate vertical portals
 12 ;Yost, Ritchie and Predovic          ;extend strategic eyeballs
 13 ;Smitham, Schimmel and Hilll         ;repurpose intuitive communities
 14 ;Mayer, Ritchie and DuBuque          ;deliver best-of-breed metrics
 15 ;Balistreri-Blanda                   ;scale back-end convergence
 16 ;Lebsack and Sons                    ;aggregate impactful niches
 17 ;Kling, Greenholt and Fritsch        ;generate clicks-and-mortar paradigms
 18 ;Haag, Conn and Heller               ;synergize scalable solutions
 19 ;Russel-Boyer                        ;recontextualize scalable supply-chains
 20 ;Powlowski Group                     ;revolutionize proactive functionalities
 21 ;Witting LLC                         ;grow robust interfaces
 22 ;Von-Morissette                      ;whiteboard 24/7 web-readiness
 23 ;Kilback-Bosco                       ;engineer intuitive content
 24 ;Wilkinson Inc                       ;evolve cross-media e-tailers
 25 ;Sawayn, Torphy and VonRueden        ;recontextualize cross-platform partnerships
 26 ;Legros-Nienow                       ;optimize world-class e-business
 27 ;Murray Group                        ;target turn-key action-items
 28 ;Gottlieb Inc                        ;empower sexy convergence
 29 ;Miller-Goyette                      ;innovate leading-edge vortals
 30 ;Kuhic-Gibson                        ;maximize value-added e-business
 31 ;Leannon-Cronin                      ;incubate interactive solutions
 32 ;Hand-Balistreri                     ;implement enterprise channels
 33 ;Ledner Group                        ;benchmark customized experiences
 34 ;Pouros-Hintz                        ;envisioneer revolutionary mindshare
 35 ;Mills-Goyette                       ;iterate holistic markets
 36 ;Heidenreich-O'Conner                ;iterate B2C infomediaries
 37 ;Goldner LLC                         ;whiteboard enterprise bandwidth
 38 ;Stark LLC                           ;envisioneer killer systems
 39 ;Koepp-Medhurst                      ;reinvent plug-and-play niches
 40 ;Bruen and Sons                      ;deploy B2B vortals
 41 ;Sipes Inc                           ;drive cross-platform schemas
 42 ;Fisher-Langworth                    ;enhance holistic applications
 43 ;Nolan, Osinski and O'Hara           ;redefine value-added web services
 44 ;Johnson-Hickle                      ;engineer next-generation users
 45 ;Vandervort-Adams                    ;envisioneer customized infrastructures
 46 ;Nicolas, MacGyver and Schuppe       ;streamline customized ROI
 47 ;Schumm-Funk                         ;productize proactive supply-chains
 48 ;Dooley-Reichel                      ;benchmark enterprise models
